FE_MW,humidity,precipation,max_temp,min_temp,wind_speed
215807.0,30.85,0.0,92.91,67.24,15.76
215982.0,37.18,0.05,94.47,69.34,11.45
213180.0,37.31,0.25,92.89,69.93,15.36
225383.0,47.81,0.17,86.83,70.34,12.0
226972.0,42.56,0.05,89.07,63.76,14.91
192079.0,35.55,0.0,90.16,65.29,9.02
204474.0,30.79,0.0,91.45,68.24,11.55
247654.0,38.23,0.46,88.83,69.57,15.27
266811.0,60.18,0.07,85.55,62.24,10.06
263240.0,47.06,0.8,89.68,64.66,13.89
228440.0,57.82,1.87,75.96,65.61,10.54
198923.0,74.03,2.57,74.83,64.11,6.88
180865.0,66.26,0.12,86.95,64.68,5.36
199134.0,54.81,0.0,94.58,69.65,8.44
246421.0,40.73,0.22,88.89,71.29,12.74
246095.0,49.83,0.14,87.39,69.77,5.21
220482.0,57.33,0.62,83.24,68.86,10.0
247063.0,63.5,0.79,89.03,65.59,6.56
229060.0,56.5,0.52,83.39,69.7,12.3
187622.0,70.58,0.19,89.71,63.73,8.89
181323.0,50.84,0.25,96.14,67.15,7.03
217833.0,40.97,0.36,94.03,72.66,6.67
231966.0,40.69,0.11,95.44,70.71,12.91
230333.0,45.82,0.02,90.16,78.22,10.52
224885.0,46.44,1.29,91.37,72.06,10.21
241641.0,53.5,0.1,86.22,66.44,10.92
229378.0,41.68,0.16,82.98,65.71,12.22
203820.0,42.32,0.0,88.64,61.89,5.89
211619.0,40.61,0.0,89.16,67.33,8.93
214630.0,37.25,0.0,88.07,68.26,10.67
226098.0,59.73,1.02,81.44,68.85,9.94
212521.0,55.5,0.62,89.58,65.22,9.58
192691.0,44.06,0.0,94.39,66.47,7.63
157015.0,43.98,0.0,97.45,66.23,5.46
158634.0,28.76,0.57,90.63,75.24,13.82
193664.0,58.54,2.5,77.42,69.99,20.43
193478.0,49.32,0.7,83.45,68.8,10.83
197772.0,54.34,0.11,90.3,64.63,6.68
206387.0,40.35,0.0,94.21,64.96,9.05
198494.0,30.84,0.0,94.96,66.51,11.06
163573.0,35.01,0.0,97.94,67.81,8.1
153835.0,34.83,0.22,93.44,73.92,11.62
182751.0,39.39,0.26,91.34,71.45,14.41
184473.0,33.35,0.0,93.57,67.29,8.69
190258.0,35.06,0.0,94.61,68.21,7.08
200594.0,46.54,0.0,94.78,72.03,11.72
211098.0,36.43,0.02,91.24,68.3,11.83
201677.0,46.7,0.15,90.57,75.14,12.82
193688.0,42.51,0.0,90.9,66.51,11.84
206877.0,43.14,0.16,91.32,65.74,8.26
210355.0,51.76,0.19,94.05,66.31,13.84
195036.0,31.48,0.0,94.61,69.4,13.19
196465.0,30.0,0.0,93.22,64.34,9.6
216086.0,34.56,0.0,85.76,67.38,18.29
197738.0,36.04,0.0,85.47,61.56,9.81
177375.0,37.92,0.0,88.18,61.64,9.06
191849.0,39.53,0.0,89.42,61.71,8.1
212407.0,38.03,0.0,90.64,60.58,6.8
215096.0,41.02,0.0,88.46,63.41,9.05
222527.0,33.45,0.0,91.02,68.19,10.05
208899.0,38.44,0.0,85.91,67.07,13.19
166016.0,51.52,0.0,86.85,66.72,9.09
147891.0,42.09,0.0,87.3,61.69,8.42
173635.0,39.46,0.0,87.19,60.73,14.17
178697.0,35.76,0.0,86.83,63.26,11.8
186506.0,28.09,0.0,84.42,59.29,10.73
194857.0,42.18,0.0,85.7,58.16,6.73
180924.0,42.14,0.01,79.72,62.22,10.14
151872.0,57.19,0.25,80.62,59.75,12.12
146132.0,44.66,0.0,79.64,59.29,9.32
173634.0,42.28,0.0,79.95,58.27,11.57
176450.0,57.81,0.0,76.07,62.89,15.46
167183.0,53.08,0.0,80.3,59.33,9.37
170906.0,51.61,0.0,80.24,60.47,8.96
170610.0,44.08,0.0,79.6,56.16,9.69
150143.0,42.35,0.0,78.49,57.61,9.45
143083.0,25.54,0.0,75.73,52.08,13.27
168755.0,32.87,0.0,76.44,51.66,8.8
173302.0,38.08,0.0,76.83,51.9,10.0
